link,breed,mark,number of ratings,number of comments,number of reviews,number of views,breed purpose,comb,broodiness,climate tolerance,egg productivity,egg size,breed size
https://www.backyardchickens.com/reviews/red-sussex-rooster-rooster-booster.11551/,Red Sussex Rooster - Rooster Booster,3.0,2,4,2,3342,,,,,,,
https://www.backyardchickens.com/reviews/red-breasted-rosecomb-bantam.11501/,Red-breasted Rosecomb Bantam,4.5,2,5,2,3833,ornamental,rose,rare,any,medium,small,small
https://www.backyardchickens.com/reviews/rhode-island-red.10881/,Rhode Island Red,4.12,318,320,313,127255,dual purpose,single,rare,colder better,high,large,large
https://www.backyardchickens.com/reviews/rhode-island-red-bantam.11500/,Rhode Island Red Bantam,4.29,14,6,13,17717,ornamental,single,,any,medium,medium,small
https://www.backyardchickens.com/reviews/rhode-island-white.10883/,Rhode Island White,4.67,6,8,6,27694,dual purpose,rose,average,colder better,high,large,large
https://www.backyardchickens.com/reviews/rhodebar.11652/,Rhodebar,4.6,5,10,5,8811,dual purpose,single,average,any,high,large,large
https://www.backyardchickens.com/reviews/rosecomb.10826/,Rosecomb,4.67,12,7,12,10240,ornamental,rose,frequent,any,low,small,small
https://www.backyardchickens.com/reviews/russian-crested.11603/,Russian Crested,5.0,2,7,1,5299,dual purpose,single,,any,medium,large,large
https://www.backyardchickens.com/reviews/russian-orloff.10869/,Russian Orloff,4.75,16,18,15,56323,dual purpose,walnut,average,any,medium,medium,large
https://www.backyardchickens.com/reviews/sagitta-chiken.11445/,Sagitta Chiken,3.6,5,5,5,16451,dual purpose,buttercup,rare,any,high,large,large
https://www.backyardchickens.com/reviews/salmon-favorelle.11719/,Salmon Favorelle,4.56,16,22,14,17700,dual purpose,single,average,any,medium,medium,large
https://www.backyardchickens.com/reviews/sapphire-gem-dominate-blue-d-107.11837/,Sapphire Gem ,5.0,2,14,2,81683,,single,,warmer better,high,large,
https://www.backyardchickens.com/reviews/sebright.10870/,Sebright,3.87,53,49,51,33508,ornamental,rose,rare,any,low,small,small
https://www.backyardchickens.com/reviews/serama.10832/,Serama,4.62,47,60,47,65031,ornamental,single,frequent,warmer better,low,small,small
https://www.backyardchickens.com/reviews/showgirl.10890/,Showgirl,4.72,18,23,18,34881,ornamental,walnut,frequent,any,"['medium', 'low']",small,small
https://www.backyardchickens.com/reviews/sicilian-buttercup.10857/,Sicilian Buttercup,3.73,26,26,26,35005,ornamental,buttercup,rare,warmer better,low,small,large
https://www.backyardchickens.com/reviews/sienna-star.11873/,Sienna Star,3.0,1,,,4362,dual purpose,single,average,any,high,medium,
https://www.backyardchickens.com/reviews/silkie.10842/,Silkie,4.37,288,416,285,129995,ornamental,walnut,frequent,any,medium,medium,small
https://www.backyardchickens.com/reviews/silver-sussex.11814/,Silver Sussex,,,4,,9135,dual purpose,single,rare,any,,medium,large
https://www.backyardchickens.com/reviews/sizzle.10891/,Sizzle,4.33,9,9,9,19374,ornamental,walnut,frequent,any,low,medium,small
https://www.backyardchickens.com/reviews/smaaland.11831/,Smaaland,5.0,1,1,,5728,eggs,single,frequent,colder better,high,medium,medium
https://www.backyardchickens.com/reviews/star.10885/,Star,4.42,156,98,152,50013,dual purpose,single,rare,any,high,large,large
https://www.backyardchickens.com/reviews/sulmtaler.11392/,Sulmtaler,4.5,6,3,5,11930,meat,single,frequent,any,medium,large,large
https://www.backyardchickens.com/reviews/sultan.10884/,Sultan,4.5,18,26,17,24544,ornamental,v-shaped,rare,warmer better,low,small,large
https://www.backyardchickens.com/reviews/sumatra.10855/,Sumatra,4.14,29,31,29,30787,ornamental,pea,average,any,low,medium,large
https://www.backyardchickens.com/reviews/super-blue-egg-layer.11699/,Super Blue Egg Layer,3.0,3,30,3,23470,eggs,pea,rare,colder better,high,large,large
